country_codes,task,year
MEX,exp1_baseline,2026
MEX,exp1_baseline,2027
MEX,exp1_baseline,2028
MEX,exp1_baseline,2029
MEX,exp1_baseline,2030
MEX,exp1_baseline,2031
MEX,exp1_baseline,2032
MEX,exp1_baseline,2033
MEX,exp1_baseline,2034
MEX,exp1_baseline,2035
MEX,exp1_baseline,2036
MEX,exp1_baseline,2037
MEX,exp1_baseline,2038
MEX,exp1_baseline,2039
MEX,exp1_baseline,2040
MEX,exp1_baseline,2041
MEX,exp1_baseline,2042
MEX,exp1_baseline,2043
MEX,exp1_baseline,2044
MEX,exp1_baseline,2045
MEX,exp1_baseline,2046
MEX,exp1_baseline,2047
MEX,exp1_baseline,2048
MEX,exp1_baseline,2049
MEX,exp1_baseline,2050
CAF,exp1_baseline,2025
CAF,exp1_baseline,2026
CAF,exp1_baseline,2027
CAF,exp1_baseline,2028
CAF,exp1_baseline,2029
CAF,exp1_baseline,2030
CAF,exp1_baseline,2031
CAF,exp1_baseline,2032
CAF,exp1_baseline,2033
CAF,exp1_baseline,2034
CAF,exp1_baseline,2035
CAF,exp1_baseline,2036
CAF,exp1_baseline,2037
CAF,exp1_baseline,2038
CAF,exp1_baseline,2039
CAF,exp1_baseline,2040
CAF,exp1_baseline,2041
CAF,exp1_baseline,2042
CAF,exp1_baseline,2043
CAF,exp1_baseline,2044
CAF,exp1_baseline,2045
CAF,exp1_baseline,2046
CAF,exp1_baseline,2047
CAF,exp1_baseline,2048
CAF,exp1_baseline,2049
CAF,exp1_baseline,2050
RWA,exp1_baseline,2025
RWA,exp1_baseline,2026
RWA,exp1_baseline,2027
RWA,exp1_baseline,2028
RWA,exp1_baseline,2029
RWA,exp1_baseline,2030
RWA,exp1_baseline,2031
RWA,exp1_baseline,2032
RWA,exp1_baseline,2033
RWA,exp1_baseline,2034
RWA,exp1_baseline,2035
RWA,exp1_baseline,2036
RWA,exp1_baseline,2037
RWA,exp1_baseline,2038
RWA,exp1_baseline,2039
RWA,exp1_baseline,2040
RWA,exp1_baseline,2041
RWA,exp1_baseline,2042
RWA,exp1_baseline,2043
RWA,exp1_baseline,2044
RWA,exp1_baseline,2045
RWA,exp1_baseline,2046
RWA,exp1_baseline,2047
RWA,exp1_baseline,2048
RWA,exp1_baseline,2049
RWA,exp1_baseline,2050
BIH,exp1_baseline,2025
BIH,exp1_baseline,2026
BIH,exp1_baseline,2027
BIH,exp1_baseline,2028
BIH,exp1_baseline,2029
BIH,exp1_baseline,2030
BIH,exp1_baseline,2031
BIH,exp1_baseline,2032
BIH,exp1_baseline,2033
BIH,exp1_baseline,2034
BIH,exp1_baseline,2035
BIH,exp1_baseline,2036
BIH,exp1_baseline,2037
BIH,exp1_baseline,2038
BIH,exp1_baseline,2039
BIH,exp1_baseline,2040
BIH,exp1_baseline,2041
BIH,exp1_baseline,2042
BIH,exp1_baseline,2043
BIH,exp1_baseline,2044
BIH,exp1_baseline,2045
BIH,exp1_baseline,2046
BIH,exp1_baseline,2047
BIH,exp1_baseline,2048
BIH,exp1_baseline,2049
BIH,exp1_baseline,2050
UGA,exp1_baseline,2025
UGA,exp1_baseline,2026
UGA,exp1_baseline,2027
UGA,exp1_baseline,2028
UGA,exp1_baseline,2029
UGA,exp1_baseline,2030
UGA,exp1_baseline,2031
UGA,exp1_baseline,2032
UGA,exp1_baseline,2033
UGA,exp1_baseline,2034
UGA,exp1_baseline,2035
UGA,exp1_baseline,2036
UGA,exp1_baseline,2037
UGA,exp1_baseline,2038
UGA,exp1_baseline,2039
UGA,exp1_baseline,2040
UGA,exp1_baseline,2041
UGA,exp1_baseline,2042
UGA,exp1_baseline,2043
UGA,exp1_baseline,2044
UGA,exp1_baseline,2045
UGA,exp1_baseline,2046
UGA,exp1_baseline,2047
UGA,exp1_baseline,2048
UGA,exp1_baseline,2049
UGA,exp1_baseline,2050
ISL,exp1_baseline,2025
ISL,exp1_baseline,2026
ISL,exp1_baseline,2027
ISL,exp1_baseline,2028
ISL,exp1_baseline,2029
ISL,exp1_baseline,2030
ISL,exp1_baseline,2031
ISL,exp1_baseline,2032
ISL,exp1_baseline,2033
ISL,exp1_baseline,2034
ISL,exp1_baseline,2035
ISL,exp1_baseline,2036
ISL,exp1_baseline,2037
ISL,exp1_baseline,2038
ISL,exp1_baseline,2039
ISL,exp1_baseline,2040
ISL,exp1_baseline,2041
ISL,exp1_baseline,2042
ISL,exp1_baseline,2043
ISL,exp1_baseline,2044
ISL,exp1_baseline,2045
ISL,exp1_baseline,2046
ISL,exp1_baseline,2047
ISL,exp1_baseline,2048
ISL,exp1_baseline,2049
ISL,exp1_baseline,2050
SRB,exp1_baseline,2025
SRB,exp1_baseline,2026
SRB,exp1_baseline,2027
SRB,exp1_baseline,2028
SRB,exp1_baseline,2029
SRB,exp1_baseline,2030
SRB,exp1_baseline,2031
SRB,exp1_baseline,2032
SRB,exp1_baseline,2033
SRB,exp1_baseline,2034
SRB,exp1_baseline,2035
SRB,exp1_baseline,2036
SRB,exp1_baseline,2037
SRB,exp1_baseline,2038
SRB,exp1_baseline,2039
SRB,exp1_baseline,2040
SRB,exp1_baseline,2041
SRB,exp1_baseline,2042
SRB,exp1_baseline,2043
SRB,exp1_baseline,2044
SRB,exp1_baseline,2045
SRB,exp1_baseline,2046
SRB,exp1_baseline,2047
SRB,exp1_baseline,2048
SRB,exp1_baseline,2049
SRB,exp1_baseline,2050
GNB,exp1_baseline,2025
GNB,exp1_baseline,2026
GNB,exp1_baseline,2027
GNB,exp1_baseline,2028
GNB,exp1_baseline,2029
GNB,exp1_baseline,2030
GNB,exp1_baseline,2031
GNB,exp1_baseline,2032
GNB,exp1_baseline,2033
GNB,exp1_baseline,2034
GNB,exp1_baseline,2035
GNB,exp1_baseline,2036
GNB,exp1_baseline,2037
GNB,exp1_baseline,2038
GNB,exp1_baseline,2039
GNB,exp1_baseline,2040
GNB,exp1_baseline,2041
GNB,exp1_baseline,2042
GNB,exp1_baseline,2043
GNB,exp1_baseline,2044
GNB,exp1_baseline,2045
GNB,exp1_baseline,2046
GNB,exp1_baseline,2047
GNB,exp1_baseline,2048
GNB,exp1_baseline,2049
GNB,exp1_baseline,2050
IDN,exp1_baseline,2025
IDN,exp1_baseline,2026
IDN,exp1_baseline,2027
IDN,exp1_baseline,2028
IDN,exp1_baseline,2029
IDN,exp1_baseline,2030
IDN,exp1_baseline,2031
IDN,exp1_baseline,2032
IDN,exp1_baseline,2033
IDN,exp1_baseline,2034
IDN,exp1_baseline,2035
IDN,exp1_baseline,2036
IDN,exp1_baseline,2037
IDN,exp1_baseline,2038
IDN,exp1_baseline,2039
IDN,exp1_baseline,2040
IDN,exp1_baseline,2041
IDN,exp1_baseline,2042
IDN,exp1_baseline,2043
IDN,exp1_baseline,2044
IDN,exp1_baseline,2045
IDN,exp1_baseline,2046
IDN,exp1_baseline,2047
IDN,exp1_baseline,2048
IDN,exp1_baseline,2049
IDN,exp1_baseline,2050
CAN,exp1_baseline,2025
CAN,exp1_baseline,2026
CAN,exp1_baseline,2027
CAN,exp1_baseline,2028
CAN,exp1_baseline,2029
CAN,exp1_baseline,2030
CAN,exp1_baseline,2031
CAN,exp1_baseline,2032
CAN,exp1_baseline,2033
CAN,exp1_baseline,2034
CAN,exp1_baseline,2035
CAN,exp1_baseline,2036
CAN,exp1_baseline,2037
CAN,exp1_baseline,2038
CAN,exp1_baseline,2039
CAN,exp1_baseline,2040
CAN,exp1_baseline,2041
CAN,exp1_baseline,2042
CAN,exp1_baseline,2043
CAN,exp1_baseline,2044
CAN,exp1_baseline,2045
CAN,exp1_baseline,2046
CAN,exp1_baseline,2047
CAN,exp1_baseline,2048
CAN,exp1_baseline,2049
CAN,exp1_baseline,2050
MUS,exp1_baseline,2025
MUS,exp1_baseline,2026
MUS,exp1_baseline,2027
MUS,exp1_baseline,2028
MUS,exp1_baseline,2029
MUS,exp1_baseline,2030
MUS,exp1_baseline,2031
MUS,exp1_baseline,2032
MUS,exp1_baseline,2033
MUS,exp1_baseline,2034
MUS,exp1_baseline,2035
MUS,exp1_baseline,2036
MUS,exp1_baseline,2037
MUS,exp1_baseline,2038
MUS,exp1_baseline,2039
MUS,exp1_baseline,2040
MUS,exp1_baseline,2041
MUS,exp1_baseline,2042
MUS,exp1_baseline,2043
MUS,exp1_baseline,2044
MUS,exp1_baseline,2045
MUS,exp1_baseline,2046
MUS,exp1_baseline,2047
MUS,exp1_baseline,2048
MUS,exp1_baseline,2049
MUS,exp1_baseline,2050
BWA,exp1_baseline,2025
BWA,exp1_baseline,2026
BWA,exp1_baseline,2027
BWA,exp1_baseline,2028
BWA,exp1_baseline,2029
BWA,exp1_baseline,2030
BWA,exp1_baseline,2031
BWA,exp1_baseline,2032
BWA,exp1_baseline,2033
BWA,exp1_baseline,2034
BWA,exp1_baseline,2035
BWA,exp1_baseline,2036
BWA,exp1_baseline,2037
BWA,exp1_baseline,2038
BWA,exp1_baseline,2039
BWA,exp1_baseline,2040
BWA,exp1_baseline,2041
BWA,exp1_baseline,2042
BWA,exp1_baseline,2043
BWA,exp1_baseline,2044
BWA,exp1_baseline,2045
BWA,exp1_baseline,2046
BWA,exp1_baseline,2047
BWA,exp1_baseline,2048
BWA,exp1_baseline,2049
BWA,exp1_baseline,2050
BRN,exp1_baseline,2025
BRN,exp1_baseline,2026
BRN,exp1_baseline,2027
BRN,exp1_baseline,2028
BRN,exp1_baseline,2029
BRN,exp1_baseline,2030
BRN,exp1_baseline,2031
BRN,exp1_baseline,2032
BRN,exp1_baseline,2033
BRN,exp1_baseline,2034
BRN,exp1_baseline,2035
BRN,exp1_baseline,2036
BRN,exp1_baseline,2037
BRN,exp1_baseline,2038
BRN,exp1_baseline,2039
BRN,exp1_baseline,2040
BRN,exp1_baseline,2041
BRN,exp1_baseline,2042
BRN,exp1_baseline,2043
BRN,exp1_baseline,2044
BRN,exp1_baseline,2045
BRN,exp1_baseline,2046
BRN,exp1_baseline,2047
BRN,exp1_baseline,2048
BRN,exp1_baseline,2049
BRN,exp1_baseline,2050
COM,exp1_baseline,2025
COM,exp1_baseline,2026
COM,exp1_baseline,2027
COM,exp1_baseline,2028
COM,exp1_baseline,2029
COM,exp1_baseline,2030
COM,exp1_baseline,2031
COM,exp1_baseline,2032
COM,exp1_baseline,2033
COM,exp1_baseline,2034
COM,exp1_baseline,2035
COM,exp1_baseline,2036
COM,exp1_baseline,2037
COM,exp1_baseline,2038
COM,exp1_baseline,2039
COM,exp1_baseline,2040
COM,exp1_baseline,2041
COM,exp1_baseline,2042
COM,exp1_baseline,2043
COM,exp1_baseline,2044
COM,exp1_baseline,2045
COM,exp1_baseline,2046
COM,exp1_baseline,2047
COM,exp1_baseline,2048
COM,exp1_baseline,2049
COM,exp1_baseline,2050
MMR,exp1_baseline,2025
MMR,exp1_baseline,2026
MMR,exp1_baseline,2027
MMR,exp1_baseline,2028
MMR,exp1_baseline,2029
MMR,exp1_baseline,2030
MMR,exp1_baseline,2031
MMR,exp1_baseline,2032
MMR,exp1_baseline,2033
MMR,exp1_baseline,2034
MMR,exp1_baseline,2035
MMR,exp1_baseline,2036
MMR,exp1_baseline,2037
MMR,exp1_baseline,2038
MMR,exp1_baseline,2039
MMR,exp1_baseline,2040
MMR,exp1_baseline,2041
MMR,exp1_baseline,2042
MMR,exp1_baseline,2043
MMR,exp1_baseline,2044
MMR,exp1_baseline,2045
MMR,exp1_baseline,2046
MMR,exp1_baseline,2047
MMR,exp1_baseline,2048
MMR,exp1_baseline,2049
MMR,exp1_baseline,2050
POL,exp1_baseline,2025
POL,exp1_baseline,2026
POL,exp1_baseline,2027
POL,exp1_baseline,2028
POL,exp1_baseline,2029
POL,exp1_baseline,2030
POL,exp1_baseline,2031
POL,exp1_baseline,2032
POL,exp1_baseline,2033
POL,exp1_baseline,2034
POL,exp1_baseline,2035
POL,exp1_baseline,2036
POL,exp1_baseline,2037
POL,exp1_baseline,2038
POL,exp1_baseline,2039
POL,exp1_baseline,2040
POL,exp1_baseline,2041
POL,exp1_baseline,2042
POL,exp1_baseline,2043
POL,exp1_baseline,2044
POL,exp1_baseline,2045
POL,exp1_baseline,2046
POL,exp1_baseline,2047
POL,exp1_baseline,2048
POL,exp1_baseline,2049
POL,exp1_baseline,2050
PAK,exp1_baseline,2025
PAK,exp1_baseline,2026
PAK,exp1_baseline,2027
PAK,exp1_baseline,2028
PAK,exp1_baseline,2029
PAK,exp1_baseline,2030
PAK,exp1_baseline,2031
PAK,exp1_baseline,2032
PAK,exp1_baseline,2033
PAK,exp1_baseline,2034
PAK,exp1_baseline,2035
PAK,exp1_baseline,2036
PAK,exp1_baseline,2037
PAK,exp1_baseline,2038
PAK,exp1_baseline,2039
PAK,exp1_baseline,2040
PAK,exp1_baseline,2041
PAK,exp1_baseline,2042
PAK,exp1_baseline,2043
PAK,exp1_baseline,2044
PAK,exp1_baseline,2045
PAK,exp1_baseline,2046
PAK,exp1_baseline,2047
PAK,exp1_baseline,2048
PAK,exp1_baseline,2049
PAK,exp1_baseline,2050
BGR,exp1_baseline,2025
BGR,exp1_baseline,2026
BGR,exp1_baseline,2027
BGR,exp1_baseline,2028
BGR,exp1_baseline,2029
BGR,exp1_baseline,2030
BGR,exp1_baseline,2031
BGR,exp1_baseline,2032
BGR,exp1_baseline,2033
BGR,exp1_baseline,2034
BGR,exp1_baseline,2035
BGR,exp1_baseline,2036
BGR,exp1_baseline,2037
BGR,exp1_baseline,2038
BGR,exp1_baseline,2039
BGR,exp1_baseline,2040
BGR,exp1_baseline,2041
BGR,exp1_baseline,2042
BGR,exp1_baseline,2043
BGR,exp1_baseline,2044
BGR,exp1_baseline,2045
BGR,exp1_baseline,2046
BGR,exp1_baseline,2047
BGR,exp1_baseline,2048
BGR,exp1_baseline,2049
BGR,exp1_baseline,2050
JOR,exp1_baseline,2025
JOR,exp1_baseline,2026
JOR,exp1_baseline,2027
JOR,exp1_baseline,2028
JOR,exp1_baseline,2029
JOR,exp1_baseline,2030
JOR,exp1_baseline,2031
JOR,exp1_baseline,2032
JOR,exp1_baseline,2033
JOR,exp1_baseline,2034
JOR,exp1_baseline,2035
JOR,exp1_baseline,2036
JOR,exp1_baseline,2037
JOR,exp1_baseline,2038
JOR,exp1_baseline,2039
JOR,exp1_baseline,2040
JOR,exp1_baseline,2041
JOR,exp1_baseline,2042
JOR,exp1_baseline,2043
JOR,exp1_baseline,2044
JOR,exp1_baseline,2045
JOR,exp1_baseline,2046
JOR,exp1_baseline,2047
JOR,exp1_baseline,2048
JOR,exp1_baseline,2049
JOR,exp1_baseline,2050
FRA,exp1_baseline,2025
FRA,exp1_baseline,2026
FRA,exp1_baseline,2027
FRA,exp1_baseline,2028
FRA,exp1_baseline,2029
FRA,exp1_baseline,2030
FRA,exp1_baseline,2031
FRA,exp1_baseline,2032
FRA,exp1_baseline,2033
FRA,exp1_baseline,2034
FRA,exp1_baseline,2035
FRA,exp1_baseline,2036
FRA,exp1_baseline,2037
FRA,exp1_baseline,2038
FRA,exp1_baseline,2039
FRA,exp1_baseline,2040
FRA,exp1_baseline,2041
FRA,exp1_baseline,2042
FRA,exp1_baseline,2043
FRA,exp1_baseline,2044
FRA,exp1_baseline,2045
FRA,exp1_baseline,2046
FRA,exp1_baseline,2047
FRA,exp1_baseline,2048
FRA,exp1_baseline,2049
FRA,exp1_baseline,2050
ALB,exp1_baseline,2025
ALB,exp1_baseline,2026
ALB,exp1_baseline,2027
ALB,exp1_baseline,2028
ALB,exp1_baseline,2029
ALB,exp1_baseline,2030
ALB,exp1_baseline,2031
ALB,exp1_baseline,2032
ALB,exp1_baseline,2033
ALB,exp1_baseline,2034
ALB,exp1_baseline,2035
ALB,exp1_baseline,2036
ALB,exp1_baseline,2037
ALB,exp1_baseline,2038
ALB,exp1_baseline,2039
ALB,exp1_baseline,2040
ALB,exp1_baseline,2041
ALB,exp1_baseline,2042
ALB,exp1_baseline,2043
ALB,exp1_baseline,2044
ALB,exp1_baseline,2045
ALB,exp1_baseline,2046
ALB,exp1_baseline,2047
ALB,exp1_baseline,2048
ALB,exp1_baseline,2049
ALB,exp1_baseline,2050
IRQ,exp1_baseline,2025
IRQ,exp1_baseline,2026
IRQ,exp1_baseline,2027
IRQ,exp1_baseline,2028
IRQ,exp1_baseline,2029
IRQ,exp1_baseline,2030
IRQ,exp1_baseline,2031
IRQ,exp1_baseline,2032
IRQ,exp1_baseline,2033
IRQ,exp1_baseline,2034
IRQ,exp1_baseline,2035
IRQ,exp1_baseline,2036
IRQ,exp1_baseline,2037
IRQ,exp1_baseline,2038
IRQ,exp1_baseline,2039
IRQ,exp1_baseline,2040
IRQ,exp1_baseline,2041
IRQ,exp1_baseline,2042
IRQ,exp1_baseline,2043
IRQ,exp1_baseline,2044
IRQ,exp1_baseline,2045
IRQ,exp1_baseline,2046
IRQ,exp1_baseline,2047
IRQ,exp1_baseline,2048
IRQ,exp1_baseline,2049
IRQ,exp1_baseline,2050
KEN,exp1_baseline,2025
KEN,exp1_baseline,2026
KEN,exp1_baseline,2027
KEN,exp1_baseline,2028
KEN,exp1_baseline,2029
KEN,exp1_baseline,2030
KEN,exp1_baseline,2031
KEN,exp1_baseline,2032
KEN,exp1_baseline,2033
KEN,exp1_baseline,2034
KEN,exp1_baseline,2035
KEN,exp1_baseline,2036
KEN,exp1_baseline,2037
KEN,exp1_baseline,2038
KEN,exp1_baseline,2039
KEN,exp1_baseline,2040
KEN,exp1_baseline,2041
KEN,exp1_baseline,2042
KEN,exp1_baseline,2043
KEN,exp1_baseline,2044
KEN,exp1_baseline,2045
KEN,exp1_baseline,2046
KEN,exp1_baseline,2047
KEN,exp1_baseline,2048
KEN,exp1_baseline,2049
KEN,exp1_baseline,2050
NGA,exp1_baseline,2025
NGA,exp1_baseline,2026
NGA,exp1_baseline,2027
NGA,exp1_baseline,2028
NGA,exp1_baseline,2029
NGA,exp1_baseline,2030
NGA,exp1_baseline,2031
NGA,exp1_baseline,2032
NGA,exp1_baseline,2033
NGA,exp1_baseline,2034
NGA,exp1_baseline,2035
NGA,exp1_baseline,2036
NGA,exp1_baseline,2037
NGA,exp1_baseline,2038
NGA,exp1_baseline,2039
NGA,exp1_baseline,2040
NGA,exp1_baseline,2041
NGA,exp1_baseline,2042
NGA,exp1_baseline,2043
NGA,exp1_baseline,2044
NGA,exp1_baseline,2045
NGA,exp1_baseline,2046
NGA,exp1_baseline,2047
NGA,exp1_baseline,2048
NGA,exp1_baseline,2049
NGA,exp1_baseline,2050
UZB,exp1_baseline,2025
UZB,exp1_baseline,2026
UZB,exp1_baseline,2027
UZB,exp1_baseline,2028
UZB,exp1_baseline,2029
UZB,exp1_baseline,2030
UZB,exp1_baseline,2031
UZB,exp1_baseline,2032
UZB,exp1_baseline,2033
UZB,exp1_baseline,2034
UZB,exp1_baseline,2035
UZB,exp1_baseline,2036
UZB,exp1_baseline,2037
UZB,exp1_baseline,2038
UZB,exp1_baseline,2039
UZB,exp1_baseline,2040
UZB,exp1_baseline,2041
UZB,exp1_baseline,2042
UZB,exp1_baseline,2043
UZB,exp1_baseline,2044
UZB,exp1_baseline,2045
UZB,exp1_baseline,2046
UZB,exp1_baseline,2047
UZB,exp1_baseline,2048
UZB,exp1_baseline,2049
UZB,exp1_baseline,2050
GAB,exp1_baseline,2025
GAB,exp1_baseline,2026
GAB,exp1_baseline,2027
GAB,exp1_baseline,2028
GAB,exp1_baseline,2029
GAB,exp1_baseline,2030
GAB,exp1_baseline,2031
GAB,exp1_baseline,2032
GAB,exp1_baseline,2033
GAB,exp1_baseline,2034
GAB,exp1_baseline,2035
GAB,exp1_baseline,2036
GAB,exp1_baseline,2037
GAB,exp1_baseline,2038
GAB,exp1_baseline,2039
GAB,exp1_baseline,2040
GAB,exp1_baseline,2041
GAB,exp1_baseline,2042
GAB,exp1_baseline,2043
GAB,exp1_baseline,2044
GAB,exp1_baseline,2045
GAB,exp1_baseline,2046
GAB,exp1_baseline,2047
GAB,exp1_baseline,2048
GAB,exp1_baseline,2049
GAB,exp1_baseline,2050
KAZ,exp1_baseline,2025
KAZ,exp1_baseline,2026
KAZ,exp1_baseline,2027
KAZ,exp1_baseline,2028
KAZ,exp1_baseline,2029
KAZ,exp1_baseline,2030
KAZ,exp1_baseline,2031
KAZ,exp1_baseline,2032
KAZ,exp1_baseline,2033
KAZ,exp1_baseline,2034
KAZ,exp1_baseline,2035
KAZ,exp1_baseline,2036
KAZ,exp1_baseline,2037
KAZ,exp1_baseline,2038
KAZ,exp1_baseline,2039
KAZ,exp1_baseline,2040
KAZ,exp1_baseline,2041
KAZ,exp1_baseline,2042
KAZ,exp1_baseline,2043
KAZ,exp1_baseline,2044
KAZ,exp1_baseline,2045
KAZ,exp1_baseline,2046
KAZ,exp1_baseline,2047
KAZ,exp1_baseline,2048
KAZ,exp1_baseline,2049
KAZ,exp1_baseline,2050
CHE,exp1_baseline,2025
CHE,exp1_baseline,2026
CHE,exp1_baseline,2027
CHE,exp1_baseline,2028
CHE,exp1_baseline,2029
CHE,exp1_baseline,2030
CHE,exp1_baseline,2031
CHE,exp1_baseline,2032
CHE,exp1_baseline,2033
CHE,exp1_baseline,2034
CHE,exp1_baseline,2035
CHE,exp1_baseline,2036
CHE,exp1_baseline,2037
CHE,exp1_baseline,2038
CHE,exp1_baseline,2039
CHE,exp1_baseline,2040
CHE,exp1_baseline,2041
CHE,exp1_baseline,2042
CHE,exp1_baseline,2043
CHE,exp1_baseline,2044
CHE,exp1_baseline,2045
CHE,exp1_baseline,2046
CHE,exp1_baseline,2047
CHE,exp1_baseline,2048
CHE,exp1_baseline,2049
CHE,exp1_baseline,2050
MLI,exp1_baseline,2025
MLI,exp1_baseline,2026
MLI,exp1_baseline,2027
MLI,exp1_baseline,2028
MLI,exp1_baseline,2029
MLI,exp1_baseline,2030
MLI,exp1_baseline,2031
MLI,exp1_baseline,2032
MLI,exp1_baseline,2033
MLI,exp1_baseline,2034
MLI,exp1_baseline,2035
MLI,exp1_baseline,2036
MLI,exp1_baseline,2037
MLI,exp1_baseline,2038
MLI,exp1_baseline,2039
MLI,exp1_baseline,2040
MLI,exp1_baseline,2041
MLI,exp1_baseline,2042
MLI,exp1_baseline,2043
MLI,exp1_baseline,2044
MLI,exp1_baseline,2045
MLI,exp1_baseline,2046
MLI,exp1_baseline,2047
MLI,exp1_baseline,2048
MLI,exp1_baseline,2049
MLI,exp1_baseline,2050
GHA,exp1_baseline,2025
GHA,exp1_baseline,2026
GHA,exp1_baseline,2027
GHA,exp1_baseline,2028
GHA,exp1_baseline,2029
GHA,exp1_baseline,2030
GHA,exp1_baseline,2031
GHA,exp1_baseline,2032
GHA,exp1_baseline,2033
GHA,exp1_baseline,2034
GHA,exp1_baseline,2035
GHA,exp1_baseline,2036
GHA,exp1_baseline,2037
GHA,exp1_baseline,2038
GHA,exp1_baseline,2039
GHA,exp1_baseline,2040
GHA,exp1_baseline,2041
GHA,exp1_baseline,2042
GHA,exp1_baseline,2043
GHA,exp1_baseline,2044
GHA,exp1_baseline,2045
GHA,exp1_baseline,2046
GHA,exp1_baseline,2047
GHA,exp1_baseline,2048
GHA,exp1_baseline,2049
GHA,exp1_baseline,2050
OMN,exp1_baseline,2025
OMN,exp1_baseline,2026
OMN,exp1_baseline,2027
OMN,exp1_baseline,2028
OMN,exp1_baseline,2029
OMN,exp1_baseline,2030
OMN,exp1_baseline,2031
OMN,exp1_baseline,2032
OMN,exp1_baseline,2033
OMN,exp1_baseline,2034
OMN,exp1_baseline,2035
OMN,exp1_baseline,2036
OMN,exp1_baseline,2037
OMN,exp1_baseline,2038
OMN,exp1_baseline,2039
OMN,exp1_baseline,2040
OMN,exp1_baseline,2041
OMN,exp1_baseline,2042
OMN,exp1_baseline,2043
OMN,exp1_baseline,2044
OMN,exp1_baseline,2045
OMN,exp1_baseline,2046
OMN,exp1_baseline,2047
